group_tag,reason_code,total_profiles,successful_profiles,success_rate_pct,mean_utility_successes
A,admin_request,6,4,66.67,114.021
A,blood_test,6,5,83.33,114.221
A,general_review,6,5,83.33,102.423
A,persistent_cough,6,5,83.33,102.423
A,repeat_prescription,6,5,83.33,95.79
A,uti_symptoms,6,5,83.33,102.423
B,admin_request,6,6,100.0,73.693
B,blood_test,6,6,100.0,73.687
B,general_review,6,6,100.0,73.67
B,persistent_cough,6,6,100.0,73.67
B,repeat_prescription,6,6,100.0,73.686
B,uti_symptoms,6,6,100.0,73.67
