story_id,form_latency_ms,llm_latency_ms,llm_call_status,exact_matches,partial_matches,mismatches,total_fields,exact_rate_pct,semantic_rate_pct
llm_story_01,0.283,6330.917,ok,8,0,3,11,72.73,72.73
llm_story_02,0.701,4507.478,ok,8,0,3,11,72.73,72.73
llm_story_03,0.261,4075.94,ok,10,0,1,11,90.91,90.91
llm_story_04,0.498,6349.538,ok,5,0,6,11,45.45,45.45
llm_story_05,1.14,5736.307,ok,6,0,5,11,54.55,54.55
llm_story_06,0.446,6049.397,ok,4,0,7,11,36.36,36.36
llm_story_07,0.261,4997.101,ok,8,0,3,11,72.73,72.73
llm_story_08,0.256,5214.319,ok,7,0,4,11,63.64,63.64
llm_story_09,0.35,4098.988,ok,8,0,3,11,72.73,72.73
llm_story_10,0.318,6265.402,ok,7,0,4,11,63.64,63.64
llm_story_11,1.009,4827.62,ok,8,0,3,11,72.73,72.73
llm_story_12,0.304,6242.17,ok,8,0,3,11,72.73,72.73
llm_story_13,0.195,5085.369,ok,7,0,4,11,63.64,63.64
llm_story_14,0.486,4459.811,ok,8,0,3,11,72.73,72.73
llm_story_15,0.183,5296.442,ok,6,0,5,11,54.55,54.55
llm_story_16,0.57,5438.509,ok,7,1,3,11,63.64,72.73
llm_story_17,0.325,5746.451,ok,8,0,3,11,72.73,72.73
llm_story_18,0.326,8416.617,ok,6,0,5,11,54.55,54.55
llm_story_19,0.213,5806.315,ok,5,1,5,11,45.45,54.55
llm_story_20,0.273,5116.213,ok,9,0,2,11,81.82,81.82
llm_story_21,0.279,5318.015,ok,8,0,3,11,72.73,72.73
llm_story_22,0.313,5087.368,ok,9,0,2,11,81.82,81.82
llm_story_23,0.3,6325.955,ok,7,0,4,11,63.64,63.64
llm_story_24,0.289,6058.452,ok,8,0,3,11,72.73,72.73
llm_story_25,0.39,6864.686,ok,7,1,3,11,63.64,72.73
llm_story_26,0.689,8029.179,ok,5,0,6,11,45.45,45.45
llm_story_27,0.574,11294.074,ok,8,0,3,11,72.73,72.73
llm_story_28,0.377,7743.271,ok,6,0,5,11,54.55,54.55
llm_story_29,0.216,9474.565,ok,7,1,3,11,63.64,72.73
llm_story_30,0.336,10298.045,ok,6,0,5,11,54.55,54.55
llm_story_31,0.468,6429.392,ok,8,1,2,11,72.73,81.82
llm_story_32,0.483,8281.156,ok,7,1,3,11,63.64,72.73
llm_story_33,1.023,7019.321,ok,8,0,3,11,72.73,72.73
llm_story_34,0.296,7325.044,ok,7,0,4,11,63.64,63.64
llm_story_35,0.283,6158.915,ok,8,0,3,11,72.73,72.73
llm_story_36,0.46,11663.486,ok,8,0,3,11,72.73,72.73
llm_story_37,0.348,9279.086,ok,4,0,7,11,36.36,36.36
llm_story_38,0.457,7289.624,ok,7,1,3,11,63.64,72.73
llm_story_39,0.337,6571.753,ok,6,0,5,11,54.55,54.55
llm_story_40,0.346,6363.99,ok,7,1,3,11,63.64,72.73
llm_story_41,0.22,6711.21,ok,8,1,2,11,72.73,81.82
llm_story_42,0.281,7035.293,ok,6,1,4,11,54.55,63.64
llm_story_43,0.457,8198.275,ok,5,0,6,11,45.45,45.45
llm_story_44,0.394,6687.83,ok,8,0,3,11,72.73,72.73
llm_story_45,0.407,6838.329,ok,8,1,2,11,72.73,81.82
llm_story_46,0.393,8011.313,ok,8,0,3,11,72.73,72.73
llm_story_47,0.349,9285.616,ok,5,0,6,11,45.45,45.45
llm_story_48,0.203,7779.209,ok,7,0,4,11,63.64,63.64
llm_story_49,3.506,6032.655,ok,9,0,2,11,81.82,81.82
llm_story_50,0.569,7861.864,ok,7,0,4,11,63.64,63.64
