scenario_id,negotiation_family,accept_all_outcome,accept_all_rounds,accept_first_outcome,accept_first_rounds,reject_all_outcome,reject_all_rounds
neg_time_gp_01,time_relax,booked,1,booked,1,failed,2
neg_time_gp_02,time_relax,booked,1,booked,1,failed,2
neg_time_rx_03,time_relax,booked,1,booked,1,failed,2
neg_time_admin_04,time_relax,booked,1,booked,1,failed,2
neg_time_uti_05,time_relax,booked,1,booked,1,failed,2
neg_time_gp_06,time_relax,booked,1,booked,1,failed,2
neg_time_gp_07,time_relax,booked,1,booked,1,failed,2
neg_time_admin_08,time_relax,booked,1,booked,1,failed,2
neg_time_rx_25,time_relax,booked,1,booked,1,failed,2
neg_time_gp_26,time_relax,booked,1,booked,1,failed,2
neg_time_resp_27,time_relax,booked,1,booked,1,failed,2
neg_time_admin_28,time_relax,booked,1,booked,1,failed,2
neg_day_gp_09,day_relax,booked,1,booked,1,failed,2
neg_day_rx_10,day_relax,booked,1,booked,1,failed,2
neg_day_admin_11,day_relax,booked,1,booked,1,failed,2
neg_day_uti_12,day_relax,booked,1,booked,1,failed,2
neg_day_resp_13,day_relax,booked,1,booked,1,failed,2
neg_day_gp_14,day_relax,booked,1,booked,1,failed,2
neg_day_rx_15,day_relax,booked,1,booked,1,failed,2
neg_day_admin_16,day_relax,booked,1,booked,1,failed,2
neg_day_resp_29,day_relax,booked,1,booked,1,failed,2
neg_day_gp_30,day_relax,booked,1,booked,1,failed,2
neg_day_admin_31,day_relax,booked,1,booked,1,failed,2
neg_day_uti_32,day_relax,booked,1,booked,1,failed,2
neg_mod_rx_17,modality_relax,booked,1,booked,1,failed,2
neg_mod_admin_18,modality_relax,booked,1,booked,1,failed,2
neg_mod_gp_19,modality_relax,booked,1,booked,1,failed,2
neg_mod_resp_20,modality_relax,booked,1,booked,1,failed,2
neg_mod_uti_33,modality_relax,booked,1,booked,1,failed,2
neg_mod_admin_34,modality_relax,booked,1,booked,1,failed,2
neg_mod_gp_35,modality_relax,booked,0,booked,0,booked,0
neg_mod_rx_36,modality_relax,booked,1,booked,1,failed,2
neg_combo_gp_21,combined_multi_round,booked,2,failed,2,failed,2
neg_combo_resp_22,combined_multi_round,booked,2,failed,2,failed,2
neg_combo_admin_23,combined_multi_round,booked,2,failed,2,failed,2
neg_combo_rx_24,combined_multi_round,booked,2,failed,2,failed,2
neg_combo_uti_37,combined_multi_round,booked,2,failed,2,failed,2
neg_combo_gp_38,combined_multi_round,booked,2,failed,2,failed,2
neg_combo_admin_39,combined_multi_round,booked,2,failed,2,failed,2
neg_combo_resp_40,combined_multi_round,booked,2,failed,2,failed,2
