scenario_id,negotiation_family,number_of_rounds,final_outcome,final_slot_id,constraints_relaxed
neg_time_gp_01,time_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_gp_02,time_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_rx_03,time_relax,1,booked,PH-20260209-0930-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_admin_04,time_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_uti_05,time_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_gp_06,time_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_gp_07,time_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_admin_08,time_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_rx_25,time_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_gp_26,time_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_resp_27,time_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|extend_date_horizon
neg_time_admin_28,time_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_periods|extend_date_horizon
neg_day_gp_09,day_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_rx_10,day_relax,1,booked,PH-20260209-0930-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_admin_11,day_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_uti_12,day_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_resp_13,day_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_gp_14,day_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_rx_15,day_relax,1,booked,PH-20260209-0930-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_admin_16,day_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_resp_29,day_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_gp_30,day_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_admin_31,day_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_days|extend_date_horizon
neg_day_uti_32,day_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_days|extend_date_horizon
neg_mod_rx_17,modality_relax,1,booked,PH-20260209-0930-LGI-1,relax_excluded_modalities|extend_date_horizon
neg_mod_admin_18,modality_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_modalities|extend_date_horizon
neg_mod_gp_19,modality_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_modalities|extend_date_horizon
neg_mod_resp_20,modality_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_modalities|extend_date_horizon
neg_mod_uti_33,modality_relax,1,booked,GP-20260209-0900-LGI-1,relax_excluded_modalities|extend_date_horizon
neg_mod_admin_34,modality_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_modalities|extend_date_horizon
neg_mod_gp_35,modality_relax,0,booked,GP-20260209-0900-LGI-1,
neg_mod_rx_36,modality_relax,1,booked,AD-20260209-1000-LGI-1,relax_excluded_modalities|extend_date_horizon
neg_combo_gp_21,combined_multi_round,2,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
neg_combo_resp_22,combined_multi_round,2,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
neg_combo_admin_23,combined_multi_round,2,booked,AD-20260209-1000-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
neg_combo_rx_24,combined_multi_round,2,booked,PH-20260209-0930-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
neg_combo_uti_37,combined_multi_round,2,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
neg_combo_gp_38,combined_multi_round,2,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
neg_combo_admin_39,combined_multi_round,2,booked,AD-20260209-1000-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
neg_combo_resp_40,combined_multi_round,2,booked,GP-20260209-0900-LGI-1,relax_excluded_periods|relax_excluded_days|relax_excluded_modalities|extend_date_horizon
