N,run_index,runtime_ms,status
50,1,1.453,booked
50,2,0.417,booked
50,3,0.412,booked
50,4,0.413,booked
50,5,0.473,booked
50,6,0.404,booked
50,7,0.411,booked
50,8,0.437,booked
50,9,0.455,booked
50,10,0.409,booked
50,11,0.393,booked
50,12,0.489,booked
50,13,0.459,booked
50,14,0.413,booked
50,15,0.407,booked
50,16,0.431,booked
50,17,0.447,booked
50,18,0.464,booked
50,19,0.416,booked
50,20,0.415,booked
50,21,0.5,booked
50,22,0.413,booked
50,23,0.396,booked
50,24,0.414,booked
50,25,0.411,booked
50,26,0.567,booked
50,27,0.433,booked
50,28,0.452,booked
50,29,0.428,booked
50,30,0.689,booked
50,31,0.443,booked
50,32,0.418,booked
50,33,0.426,booked
50,34,0.449,booked
50,35,0.413,booked
50,36,0.476,booked
50,37,0.445,booked
50,38,0.44,booked
50,39,0.565,booked
50,40,0.424,booked
50,41,0.421,booked
50,42,0.451,booked
50,43,0.465,booked
50,44,0.498,booked
50,45,0.487,booked
50,46,0.448,booked
50,47,0.429,booked
50,48,0.41,booked
50,49,0.406,booked
50,50,0.41,booked
100,1,0.777,booked
100,2,0.853,booked
100,3,0.814,booked
100,4,0.738,booked
100,5,0.726,booked
100,6,0.694,booked
100,7,0.688,booked
100,8,0.708,booked
100,9,0.84,booked
100,10,0.84,booked
100,11,0.763,booked
100,12,0.73,booked
100,13,0.783,booked
100,14,1.212,booked
100,15,1.246,booked
100,16,0.794,booked
100,17,0.923,booked
100,18,0.743,booked
100,19,0.72,booked
100,20,0.691,booked
100,21,0.768,booked
100,22,0.954,booked
100,23,0.741,booked
100,24,0.811,booked
100,25,0.813,booked
100,26,0.708,booked
100,27,0.7,booked
100,28,0.748,booked
100,29,0.896,booked
100,30,0.742,booked
100,31,0.786,booked
100,32,0.756,booked
100,33,0.705,booked
100,34,0.665,booked
100,35,0.764,booked
100,36,0.698,booked
100,37,0.678,booked
100,38,0.701,booked
100,39,0.72,booked
100,40,0.671,booked
100,41,0.734,booked
100,42,0.712,booked
100,43,0.768,booked
100,44,0.7,booked
100,45,0.691,booked
100,46,4.652,booked
100,47,0.679,booked
100,48,0.75,booked
100,49,0.721,booked
100,50,0.739,booked
200,1,1.172,booked
200,2,1.144,booked
200,3,1.162,booked
200,4,1.227,booked
200,5,1.245,booked
200,6,1.175,booked
200,7,1.25,booked
200,8,1.141,booked
200,9,1.176,booked
200,10,1.354,booked
200,11,1.144,booked
200,12,1.253,booked
200,13,1.124,booked
200,14,1.123,booked
200,15,1.414,booked
200,16,1.175,booked
200,17,1.159,booked
200,18,1.158,booked
200,19,1.121,booked
200,20,1.309,booked
200,21,1.258,booked
200,22,1.432,booked
200,23,1.145,booked
200,24,1.12,booked
200,25,1.17,booked
200,26,1.299,booked
200,27,1.176,booked
200,28,1.224,booked
200,29,1.134,booked
200,30,1.136,booked
200,31,1.345,booked
200,32,1.223,booked
200,33,1.196,booked
200,34,1.173,booked
200,35,1.137,booked
200,36,1.803,booked
200,37,1.258,booked
200,38,1.158,booked
200,39,1.111,booked
200,40,1.198,booked
200,41,1.258,booked
200,42,2.173,booked
200,43,1.324,booked
200,44,1.202,booked
200,45,1.212,booked
200,46,1.517,booked
200,47,1.155,booked
200,48,1.182,booked
200,49,1.157,booked
200,50,1.152,booked
400,1,2.305,booked
400,2,2.181,booked
400,3,2.285,booked
400,4,2.17,booked
400,5,7.56,booked
400,6,2.178,booked
400,7,2.236,booked
400,8,2.104,booked
400,9,2.298,booked
400,10,2.073,booked
400,11,2.278,booked
400,12,2.03,booked
400,13,2.868,booked
400,14,2.523,booked
400,15,2.326,booked
400,16,2.298,booked
400,17,2.567,booked
400,18,2.021,booked
400,19,2.393,booked
400,20,2.052,booked
400,21,2.338,booked
400,22,2.345,booked
400,23,2.403,booked
400,24,1.997,booked
400,25,2.377,booked
400,26,2.11,booked
400,27,7.216,booked
400,28,2.271,booked
400,29,2.372,booked
400,30,2.069,booked
400,31,2.42,booked
400,32,2.139,booked
400,33,2.249,booked
400,34,2.152,booked
400,35,2.29,booked
400,36,2.06,booked
400,37,2.582,booked
400,38,2.054,booked
400,39,2.436,booked
400,40,2.178,booked
400,41,2.174,booked
400,42,2.211,booked
400,43,2.242,booked
400,44,2.303,booked
400,45,2.339,booked
400,46,1.948,booked
400,47,2.523,booked
400,48,1.952,booked
400,49,6.549,booked
400,50,2.025,booked
800,1,3.847,booked
800,2,4.757,booked
800,3,5.899,booked
800,4,4.646,booked
800,5,5.033,booked
800,6,4.031,booked
800,7,4.005,booked
800,8,4.075,booked
800,9,15.044,booked
800,10,18.189,booked
800,11,21.936,booked
800,12,16.476,booked
800,13,12.222,booked
800,14,8.357,booked
800,15,7.001,booked
800,16,15.627,booked
800,17,7.502,booked
800,18,8.236,booked
800,19,21.699,booked
800,20,6.119,booked
800,21,4.687,booked
800,22,4.96,booked
800,23,4.35,booked
800,24,4.325,booked
800,25,4.578,booked
800,26,4.463,booked
800,27,6.095,booked
800,28,15.721,booked
800,29,6.191,booked
800,30,4.584,booked
800,31,4.036,booked
800,32,4.199,booked
800,33,4.477,booked
800,34,4.693,booked
800,35,4.675,booked
800,36,5.539,booked
800,37,4.098,booked
800,38,4.697,booked
800,39,4.492,booked
800,40,5.647,booked
800,41,4.972,booked
800,42,4.982,booked
800,43,3.971,booked
800,44,4.652,booked
800,45,5.143,booked
800,46,4.492,booked
800,47,13.19,booked
800,48,4.657,booked
800,49,4.806,booked
800,50,4.893,booked
